period,path,type,value
2026-02,corteMes,string,FEBRERO
2026-02,corteAnio,string,2026
2026-02,ingresos.cards[0].title,string,Ingresos Agregador
2026-02,ingresos.cards[0].value,string,"$787,7 M"
2026-02,ingresos.cards[0].delta,string,"+ 18,0 % vs ene"
2026-02,ingresos.cards[0].meta,string,"95,0 % de meta"
2026-02,ingresos.cards[0].deltaTone,string,green
2026-02,ingresos.cards[0].metaTone,string,yellow
2026-02,ingresos.cards[1].title,string,Ingresos Gateway
2026-02,ingresos.cards[1].value,string,"$787,2 M"
2026-02,ingresos.cards[1].subtitle,string,Afiliaciones + transacciones
2026-02,ingresos.cards[1].delta,string,"+ 40,2 % vs ene"
2026-02,ingresos.cards[1].meta,string,"95,0 % de meta"
2026-02,ingresos.cards[1].deltaTone,string,green
2026-02,ingresos.cards[1].metaTone,string,green
2026-02,ingresos.cards[2].title,string,Otras líneas
2026-02,ingresos.cards[2].value,string,"$49,6 M"
2026-02,ingresos.cards[2].delta,string,"- 66,0 % vs ene"
2026-02,ingresos.cards[2].meta,string,"38,5 % de meta"
2026-02,ingresos.cards[2].deltaTone,string,red
2026-02,ingresos.cards[2].metaTone,string,red
2026-02,ingresos.cards[3].title,string,Ingreso total
2026-02,ingresos.cards[3].value,string,"$1.621,5 M"
2026-02,ingresos.cards[3].delta,string,"+ 19,2 % vs ene"
2026-02,ingresos.cards[3].meta,string,"104,9 % de meta"
2026-02,ingresos.cards[3].deltaTone,string,green
2026-02,ingresos.cards[3].metaTone,string,green
2026-02,ingresos.summary.total,string,"$1621,5 M"
2026-02,ingresos.summary.delta,string,"+ 19,2%"
2026-02,ingresos.summary.cumplimiento,string,"Cumpl. 104,9%"
2026-02,ingresos.summary.ene,string,"$1360,9 M"
2026-02,ingresos.summary.ppto,string,"$1545,9 M"
2026-02,ingresos.margins[0].title,string,Margen bruto
2026-02,ingresos.margins[0].real,string,"$1212,7 M"
2026-02,ingresos.margins[0].ppto,string,"$924,1 M"
2026-02,ingresos.margins[0].pill,string,"131,2"
2026-02,ingresos.margins[0].pillTone,string,green
2026-02,ingresos.margins[0].vsText,string,"+34,9%"
2026-02,ingresos.margins[0].vsTone,string,green
2026-02,ingresos.margins[0].note,string,"Variación absoluta vs meta: $288,6 M"
2026-02,ingresos.margins[0].series[0].name,string,ENE
2026-02,ingresos.margins[0].series[0].value,number,9500
2026-02,ingresos.margins[0].series[1].name,string,FEB REAL
2026-02,ingresos.margins[0].series[1].value,number,12000
2026-02,ingresos.margins[0].series[2].name,string,PPTO
2026-02,ingresos.margins[0].series[2].value,number,9800
2026-02,ingresos.margins[1].title,string,Margen EBITDA
2026-02,ingresos.margins[1].real,string,"$78,6 M"
2026-02,ingresos.margins[1].ppto,string,"-$673,1 M"
2026-02,ingresos.margins[1].pill,string,"111,0 %"
2026-02,ingresos.margins[1].pillTone,string,green
2026-02,ingresos.margins[1].vsText,string,"-110,1%"
2026-02,ingresos.margins[1].vsTone,string,red
2026-02,ingresos.margins[1].note,string,"Variación absoluta vs meta: $751,7 M"
2026-02,ingresos.margins[1].series[0].name,string,ENE
2026-02,ingresos.margins[1].series[0].value,number,120
2026-02,ingresos.margins[1].series[1].name,string,FEB REAL
2026-02,ingresos.margins[1].series[1].value,number,700
2026-02,ingresos.margins[1].series[2].name,string,PPTO
2026-02,ingresos.margins[1].series[2].value,number,-80
2026-02,ingresos.margins[2].title,string,Margen neto
2026-02,ingresos.margins[2].real,string,"$25,4 M"
2026-02,ingresos.margins[2].ppto,string,"-$687,3 M"
2026-02,ingresos.margins[2].pill,string,"103,6 %"
2026-02,ingresos.margins[2].pillTone,string,green
2026-02,ingresos.margins[2].vsText,string,"-103,2%"
2026-02,ingresos.margins[2].vsTone,string,red
2026-02,ingresos.margins[2].note,string,"Variación absoluta vs meta: $712,7 M"
2026-02,ingresos.margins[2].series[0].name,string,ENE
2026-02,ingresos.margins[2].series[0].value,number,-300
2026-02,ingresos.margins[2].series[1].name,string,FEB REAL
2026-02,ingresos.margins[2].series[1].value,number,60
2026-02,ingresos.margins[2].series[2].name,string,PPTO
2026-02,ingresos.margins[2].series[2].value,number,-650
2026-02,ingresos.table[0][0],string,Ingresos total
2026-02,ingresos.table[0][1],string,"$1.360,9 M"
2026-02,ingresos.table[0][2],string,"$1.442,9 M"
2026-02,ingresos.table[0][3],string,94.3%
2026-02,ingresos.table[0][4],string,"$1.621,5 M"
2026-02,ingresos.table[0][5],string,"$1.545,9 M"
2026-02,ingresos.table[0][6],string,104.9%
2026-02,ingresos.table[0][7],string,192%
2026-02,ingresos.table[1][0],string,ePayco pagos Agregador
2026-02,ingresos.table[1][1],string,"$667,3 M"
2026-02,ingresos.table[1][2],string,"$781,5 M"
2026-02,ingresos.table[1][3],string,85.4%
2026-02,ingresos.table[1][4],string,"$787,7 M"
2026-02,ingresos.table[1][5],string,"$828,9 M"
2026-02,ingresos.table[1][6],string,95.0%
2026-02,ingresos.table[1][7],string,180%
2026-02,ingresos.table[2][0],string,ePayco pagos Gateway
2026-02,ingresos.table[2][1],string,"$561,4 M"
2026-02,ingresos.table[2][2],string,"$586,9 M"
2026-02,ingresos.table[2][3],string,95.7%
2026-02,ingresos.table[2][4],string,"$787,2 M"
2026-02,ingresos.table[2][5],string,"$622,6 M"
2026-02,ingresos.table[2][6],string,126.5%
2026-02,ingresos.table[2][7],string,402%
2026-02,ingresos.table[3][0],string,ePayco Recaudo
2026-02,ingresos.table[3][1],string,"$50,6 M"
2026-02,ingresos.table[3][2],string,"$43,5 M"
2026-02,ingresos.table[3][3],string,116.4%
2026-02,ingresos.table[3][4],string,"$8,0 M"
2026-02,ingresos.table[3][5],string,"$46,1 M"
2026-02,ingresos.table[3][6],string,17.4%
2026-02,ingresos.table[3][7],string,-841%
2026-02,ingresos.table[4][0],string,Suscripciones
2026-02,ingresos.table[4][1],string,"$5,4 M"
2026-02,ingresos.table[4][2],string,"$5,7 M"
2026-02,ingresos.table[4][3],string,93.9%
2026-02,ingresos.table[4][4],string,"$6,0 M"
2026-02,ingresos.table[4][5],string,"$6,1 M"
2026-02,ingresos.table[4][6],string,98.5%
2026-02,ingresos.table[4][7],string,113%
2026-02,ingresos.table[5][0],string,ePayco Control
2026-02,ingresos.table[5][1],string,"$61,4 M"
2026-02,ingresos.table[5][2],string,"$45,2 M"
2026-02,ingresos.table[5][3],string,136.0%
